timestamp,sweep,model,harness,prompt,max_tokens,kv_mode,sink_tokens,simd_matmul,fused_kv_min,block_len,accept_mode,temp,ddtree,prefill_s,decode_tps,total_tokens,accept_rate,extra
2026-05-24T20:37:16Z,quick,Qwen3.6-27B-4bit,generate,short,64,unset,-,-,-,-,greedy,0.0,off,0.91,18.1,64,kv_backend=standard,
2026-05-24T20:37:26Z,quick,Qwen3.6-27B-4bit,generate,short,64,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,0.90,18.6,64,kv_backend=quantized,
2026-05-24T20:37:38Z,quick,Qwen3.6-27B-4bit,generate,short,64,TURBO_KV,0,unset,8192,-,greedy,0.0,off,0.89,18.9,64,kv_backend=turboquant,
2026-05-24T20:37:48Z,quick,Qwen3.6-27B-4bit,generate,short,64,TURBO_KV,4,unset,8192,-,greedy,0.0,off,0.88,18.9,64,kv_backend=turboquant,
2026-05-24T20:37:59Z,quick,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,1,greedy,0.0,off,0.837,20.45,64,0.864,
2026-05-24T20:38:08Z,quick,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,short,64,session-default,-,-,-,4,greedy,0.0,off,0.834,20.30,64,0.712,
2026-05-24T20:38:18Z,quick,Qwen3.6-35B-A3B-4bit,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.0,off,1.079,70.58,64,0.324,avg_block_len=3.89;adaptive=1/25/1;speedup=0.60x
2026-05-24T20:39:26Z,quick,gemma-4-26B-A4B-it,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.0,off,0.799,3.08,64,0.112,avg_block_len=4.02
2026-05-24T20:40:43Z,quick,gemma-4-26B-A4B-it,bench_dflash,short,64,TURBO_KV,-,-,-,draft,rejection,0.0,off,0.721,2.38,64,0.023,avg_block_len=3.82;adaptive=2/51/3;kv_backend=turboquant
2026-05-24T20:43:56Z,full,Qwen3.6-27B-4bit,generate,short,64,TURBO_KV,0,1,8192,-,greedy,0.0,off,0.87,18.9,64,kv_backend=turboquant,
2026-05-24T20:44:06Z,full,Qwen3.6-27B-4bit,generate,short,64,TURBO_KV,4,1,8192,-,greedy,0.0,off,0.87,18.9,64,kv_backend=turboquant,
2026-05-24T20:44:36Z,full,Qwen3.6-27B-4bit,generate,short,256,unset,-,-,-,-,greedy,0.0,off,0.87,19.1,256,kv_backend=standard,
2026-05-24T20:45:05Z,full,Qwen3.6-27B-4bit,generate,short,256,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,0.89,18.5,256,kv_backend=quantized,
2026-05-24T20:45:41Z,full,Qwen3.6-27B-4bit,generate,short,256,TURBO_KV,0,unset,8192,-,greedy,0.0,off,0.88,16.7,256,kv_backend=turboquant,
2026-05-24T20:46:14Z,full,Qwen3.6-27B-4bit,generate,short,256,TURBO_KV,0,1,8192,-,greedy,0.0,off,0.87,17.0,245,kv_backend=turboquant,
2026-05-24T20:46:48Z,full,Qwen3.6-27B-4bit,generate,short,256,TURBO_KV,4,unset,8192,-,greedy,0.0,off,0.88,16.4,256,kv_backend=turboquant,
2026-05-24T20:47:25Z,full,Qwen3.6-27B-4bit,generate,short,256,TURBO_KV,4,1,8192,-,greedy,0.0,off,0.86,14.3,256,kv_backend=turboquant,
2026-05-24T20:48:32Z,full,Qwen3.6-27B-4bit,generate,long,64,unset,-,-,-,-,greedy,0.0,off,29.24,13.5,64,kv_backend=standard,
2026-05-24T20:49:39Z,full,Qwen3.6-27B-4bit,generate,long,64,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,28.35,14.8,64,kv_backend=quantized,
2026-05-24T20:50:44Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,0,unset,8192,-,greedy,0.0,off,26.33,16.2,64,kv_backend=turboquant,
2026-05-24T20:51:44Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,0,unset,512,-,greedy,0.0,off,25.42,16.9,64,kv_backend=turboquant,
2026-05-24T20:52:43Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,0,1,8192,-,greedy,0.0,off,25.19,17.1,64,kv_backend=turboquant,
2026-05-24T20:53:42Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,0,1,512,-,greedy,0.0,off,25.21,16.9,64,kv_backend=turboquant,
2026-05-24T20:54:42Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,4,unset,8192,-,greedy,0.0,off,25.37,16.6,64,kv_backend=turboquant,
2026-05-24T20:55:42Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,4,unset,512,-,greedy,0.0,off,25.72,16.4,64,kv_backend=turboquant,
2026-05-24T20:56:43Z,full,Qwen3.6-27B-4bit,generate,long,64,TURBO_KV,4,1,8192,-,greedy,0.0,off,25.96,16.1,64,kv_backend=turboquant,
